household_id,scenario,country,market,marital_status,residence_state,move_in_date,num_adults,num_dependants,youngest_child_dob,oldest_child_dob,annual_household_gross_income,monthly_expenses_total,expense_to_income_ratio,annual_alimony_paid,has_mortgage_or_loan,loan_outstanding_total,monthly_debt_cost_total,monthly_mortgage_payment_total,monthly_non_mortgage_payment_total,mortgage_payment_to_income_ratio,property_value_total,investable_assets_total,retirement_assets_total,cash_and_cashlike_total,alternatives_total,net_worth_proxy,risk_tolerance,investment_objectives,tax_bracket_band,client_segment
HH000001,retired_couple_high_assets_low_income,US,US_RIA,married_or_civil_partner,TX,2007-02-24,2,0,,,163208.0,6844.78,0.5033,0.0,False,0.0,0.0,0.0,0.0,0.0,344336.1,873823.84,245083.71,73099.93,91104.46,1224063.1,moderate,tax_optimization,35%,affluent_ria_like
HH000002,retired_couple_high_assets_low_income,US,US_RIA,married_or_civil_partner,MA,2012-03-15,2,0,,,163208.0,6739.71,0.4955,0.0,False,0.0,0.0,0.0,0.0,0.0,145072.82,549396.9,134178.99,30817.59,17270.55,702446.9,moderate,capital_preservation|income|tax_optimization,24%,affluent_ria_like
HH000003,affluent_couple_brokerage_and_pensions,US,US_RIA,married_or_civil_partner,CA,2017-04-04,2,0,,,163208.0,9566.91,0.7034,0.0,True,175436.13,5217.77,5217.77,0.0,0.3836,258735.0,687260.72,146275.47,58134.28,19497.65,813515.8,moderate,education|income|wealth_growth,37%,affluent_ria_like
HH000004,retired_couple_high_assets_low_income,US,US_RIA,married_or_civil_partner,Other,2013-06-08,2,0,,,163208.0,8484.2,0.6238,0.0,True,15320.55,1088.88,1088.88,0.0,0.0801,328175.85,608673.88,248225.7,96739.82,15513.43,962606.8,moderate,education|estate_planning|tax_optimization,32%,affluent_ria_like
HH000005,young_dual_income_low_assets,US,US_RIA,married_or_civil_partner,NY,2024-08-26,2,0,,,229855.91,10146.14,0.5297,0.0,True,98059.72,5265.11,5265.11,0.0,0.2749,143359.15,475054.81,92619.07,70080.72,0.0,539967.84,conservative,capital_preservation|retirement|wealth_growth,35%,affluent_ria_like
HH000006,young_dual_income_low_assets,US,US_RIA,married_or_civil_partner,Other,2024-01-03,2,0,,,175099.84,12192.13,0.8356,0.0,True,114413.63,5890.35,5890.35,0.0,0.4037,145251.45,316020.38,64366.98,43583.47,0.0,358735.53,moderate,capital_preservation|estate_planning,32%,affluent_ria_like
HH000007,widowed,US,US_RIA,widowed,Other,2011-07-25,1,4,2023-02-24,2016-11-02,168581.34,7447.46,0.5301,0.0,True,60687.27,1922.21,1922.21,0.0,0.1368,257357.46,644671.04,103198.38,50993.08,98226.04,866643.69,aggressive,estate_planning,35%,affluent_ria_like
HH000008,financially_stressed_with_debt,US,US_RIA,married_or_civil_partner,CA,2010-07-16,2,0,,,217892.61,17249.83,0.95,0.0,True,131744.23,10075.82,9297.02,778.81,0.512,161391.77,358818.81,70997.33,28116.66,37845.71,410702.32,conservative,retirement,35%,affluent_ria_like
HH000009,family_with_mortgage_and_children,US,US_RIA,married_or_civil_partner,Other,2020-05-21,2,2,2012-09-13,2008-08-30,227071.01,14065.82,0.7433,0.0,True,102807.02,3569.38,3569.38,0.0,0.1886,324467.73,835328.45,125208.91,97041.3,73103.41,1088804.6,growth,tax_optimization|wealth_growth,35%,affluent_ria_like
HH000010,family_with_mortgage_and_children,US,US_RIA,married_or_civil_partner,FL,2012-11-27,2,2,2018-07-10,2016-08-31,163208.0,10230.66,0.7522,0.0,True,292082.98,5041.42,4566.81,474.61,0.3358,392668.05,699149.64,101590.98,92134.36,107239.88,823092.98,growth,capital_preservation,32%,affluent_ria_like
HH000011,one_high_earner_one_low_earner,US,US_RIA,married_or_civil_partner,FL,2020-03-19,2,0,,,163208.0,11909.79,0.8757,0.0,True,268394.21,2349.51,2349.51,0.0,0.1727,514226.85,611571.93,104407.78,34838.89,21479.85,883847.8,moderate,capital_preservation|estate_planning,35%,affluent_ria_like
HH000012,self_employed_business_owner,US,US_RIA,single,IL,2014-10-02,1,4,2017-10-17,2010-01-20,163208.0,8895.24,0.654,0.0,True,142880.39,1618.6,1618.6,0.0,0.119,644925.28,673470.59,152198.57,65715.05,30674.06,1185689.54,conservative,income|retirement,32%,affluent_ria_like
HH000013,affluent_couple_brokerage_and_pensions,US,US_RIA,married_or_civil_partner,Other,2016-01-07,2,1,2010-12-15,2010-12-15,215381.01,12431.19,0.6926,0.0,True,269878.34,3161.68,3161.68,0.0,0.1762,544742.49,844270.35,198223.32,133841.47,14255.85,1167218.59,growth,capital_preservation,32%,affluent_ria_like
