income_line_id,household_id,owner,source_type,frequency,net_or_gross,amount_annualized
HH000001_I1,HH000001,client_1,rental_income,monthly,gross,8105.0
HH000002_I1,HH000002,client_2,interest_dividends,monthly,gross,163208.0
HH000003_I1,HH000003,client_1,salary,annual,gross,162822.48
HH000004_I1,HH000004,client_2,business_income,weekly,gross,8125.64
HH000005_I1,HH000005,client_2,interest_dividends,monthly,gross,15131.64
HH000006_I1,HH000006,joint,social_security,ad_hoc,gross,59216.33
HH000007_I1,HH000007,client_1,rental_income,monthly,gross,24328.57
HH000007_I2,HH000007,client_2,pension_income,monthly,gross,115728.62
HH000008_I1,HH000008,client_1,rental_income,monthly,gross,60504.45
HH000009_I1,HH000009,client_1,salary,monthly,gross,29458.62
HH000009_I2,HH000009,client_2,rental_income,monthly,gross,35283.31
HH000009_I3,HH000009,client_2,business_income,annual,gross,26532.63
HH000009_I4,HH000009,client_1,business_income,monthly,gross,0.0
HH000010_I1,HH000010,client_2,social_security,quarterly,gross,26373.06
HH000010_I2,HH000010,joint,business_income,monthly,gross,44132.27
HH000011_I1,HH000011,client_1,interest_dividends,quarterly,gross,35589.84
HH000011_I2,HH000011,client_1,bonus,monthly,gross,15331.21
HH000011_I3,HH000011,client_1,social_security,monthly,gross,51612.15
HH000012_I1,HH000012,client_1,rental_income,monthly,gross,221005.02
HH000013_I1,HH000013,client_1,social_security,annual,gross,5848.99
HH000013_I2,HH000013,client_1,salary,monthly,gross,1859.5
HH000013_I3,HH000013,client_1,pension_income,annual,gross,5898.94
HH000013_I4,HH000013,client_2,business_income,monthly,gross,980.51
HH000014_I1,HH000014,client_2,interest_dividends,ad_hoc,gross,25904.23
HH000015_I1,HH000015,client_1,bonus,monthly,gross,53312.79
HH000015_I2,HH000015,client_1,social_security,monthly,gross,86032.39
HH000015_I3,HH000015,client_1,pension_income,monthly,gross,38445.38
HH000015_I4,HH000015,client_1,pension_income,monthly,gross,15679.85
HH000015_I5,HH000015,client_2,business_income,annual,gross,0.0
HH000016_I1,HH000016,client_1,rental_income,monthly,gross,26875.12
HH000017_I1,HH000017,client_2,pension_income,monthly,gross,908.66
HH000017_I2,HH000017,client_2,social_security,monthly,gross,9022.51
HH000018_I1,HH000018,client_1,business_income,monthly,gross,13646.77
HH000018_I2,HH000018,client_2,social_security,monthly,gross,36015.73
HH000019_I1,HH000019,client_2,pension_income,monthly,gross,93586.58
HH000020_I1,HH000020,client_2,rental_income,monthly,gross,59705.92
HH000020_I2,HH000020,client_1,bonus,quarterly,gross,103502.08
HH000021_I1,HH000021,joint,business_income,monthly,gross,26098.12
HH000021_I2,HH000021,joint,pension_income,monthly,gross,9385.75
HH000021_I3,HH000021,client_1,salary,annual,gross,12577.91
HH000021_I4,HH000021,client_2,business_income,monthly,gross,13681.53
HH000021_I5,HH000021,joint,business_income,ad_hoc,gross,0.0
HH000021_I6,HH000021,client_1,business_income,weekly,gross,0.0
HH000022_I1,HH000022,client_2,rental_income,annual,gross,67200.61
HH000023_I1,HH000023,client_1,rental_income,monthly,gross,63957.98
HH000023_I2,HH000023,client_1,business_income,monthly,gross,61634.45
HH000023_I3,HH000023,client_2,business_income,monthly,gross,19580.09
HH000023_I4,HH000023,client_2,interest_dividends,monthly,gross,0.0
HH000024_I1,HH000024,client_1,interest_dividends,annual,gross,2254.77
HH000024_I2,HH000024,client_2,rental_income,monthly,gross,16204.91
HH000025_I1,HH000025,client_2,rental_income,monthly,gross,204298.45
HH000026_I1,HH000026,client_1,salary,monthly,gross,5595.36
HH000026_I2,HH000026,client_1,interest_dividends,ad_hoc,gross,10885.57
HH000026_I3,HH000026,client_1,business_income,monthly,gross,21554.31
HH000026_I4,HH000026,client_1,salary,monthly,gross,24275.74
HH000027_I1,HH000027,client_1,interest_dividends,monthly,gross,48801.95
HH000027_I2,HH000027,client_2,business_income,ad_hoc,gross,97512.51
HH000028_I1,HH000028,client_2,rental_income,annual,gross,13141.27
HH000028_I2,HH000028,client_1,bonus,annual,gross,15194.5
HH000028_I3,HH000028,client_1,pension_income,monthly,gross,11185.83
HH000028_I4,HH000028,client_1,salary,monthly,gross,3988.01
HH000028_I5,HH000028,client_2,rental_income,ad_hoc,gross,6192.88
HH000028_I6,HH000028,client_1,bonus,quarterly,gross,0.0
HH000029_I1,HH000029,joint,bonus,ad_hoc,gross,60352.45
HH000029_I2,HH000029,client_1,salary,monthly,gross,64099.6
HH000029_I3,HH000029,client_2,salary,monthly,gross,35119.12
HH000030_I1,HH000030,client_1,rental_income,monthly,gross,104070.42
HH000031_I1,HH000031,client_1,social_security,monthly,gross,292884.46
HH000032_I1,HH000032,client_1,interest_dividends,monthly,gross,11732.88
HH000032_I2,HH000032,joint,social_security,monthly,gross,16425.35
HH000033_I1,HH000033,joint,pension_income,weekly,gross,13720.39
HH000033_I2,HH000033,client_2,business_income,monthly,gross,81110.28
HH000034_I1,HH000034,client_1,interest_dividends,monthly,gross,33807.14
HH000035_I1,HH000035,client_1,pension_income,monthly,gross,586247.3
HH000036_I1,HH000036,client_2,social_security,annual,gross,112885.16
HH000037_I1,HH000037,client_2,bonus,monthly,gross,68293.84
HH000037_I2,HH000037,client_2,business_income,monthly,gross,32144.69
HH000037_I3,HH000037,client_1,interest_dividends,weekly,gross,68334.9
HH000038_I1,HH000038,client_2,rental_income,monthly,gross,2415.99
HH000038_I2,HH000038,client_2,rental_income,quarterly,gross,9690.74
HH000039_I1,HH000039,client_1,interest_dividends,monthly,gross,18023.74
HH000039_I2,HH000039,client_2,pension_income,annual,gross,115496.01
HH000040_I1,HH000040,client_1,interest_dividends,monthly,gross,5113.49
HH000040_I2,HH000040,client_1,business_income,quarterly,gross,4116.31
HH000040_I3,HH000040,client_2,salary,annual,gross,18925.11
HH000041_I1,HH000041,client_2,bonus,monthly,gross,10737.89
HH000041_I2,HH000041,client_1,rental_income,annual,gross,13828.7
HH000041_I3,HH000041,client_1,salary,monthly,gross,7725.78
HH000042_I1,HH000042,joint,salary,annual,gross,63840.25
HH000042_I2,HH000042,joint,salary,monthly,gross,149642.96
HH000043_I1,HH000043,client_1,business_income,monthly,gross,56751.95
HH000044_I1,HH000044,joint,social_security,monthly,gross,26959.25
HH000044_I2,HH000044,client_1,bonus,monthly,gross,46738.54
HH000044_I3,HH000044,client_2,salary,monthly,gross,68448.5
HH000044_I4,HH000044,client_1,bonus,monthly,gross,10124.81
HH000044_I5,HH000044,client_2,social_security,quarterly,gross,0.0
HH000045_I1,HH000045,client_1,social_security,ad_hoc,gross,60936.6
HH000045_I2,HH000045,joint,salary,monthly,gross,325837.98
HH000046_I1,HH000046,client_1,salary,annual,gross,92158.58
HH000047_I1,HH000047,client_1,bonus,quarterly,gross,64371.14
HH000047_I2,HH000047,client_1,rental_income,monthly,gross,22610.5
HH000047_I3,HH000047,client_2,pension_income,monthly,gross,64295.91
HH000047_I4,HH000047,joint,social_security,monthly,gross,9059.32
HH000048_I1,HH000048,client_1,pension_income,weekly,gross,92102.52
HH000049_I1,HH000049,client_1,rental_income,ad_hoc,gross,1169.99
HH000049_I2,HH000049,client_1,pension_income,monthly,gross,6021.36
HH000050_I1,HH000050,client_1,bonus,annual,gross,209924.74
HH000051_I1,HH000051,client_1,business_income,monthly,gross,27143.13
HH000051_I2,HH000051,client_1,pension_income,monthly,gross,62435.67
HH000051_I3,HH000051,client_1,rental_income,monthly,gross,92589.51
HH000051_I4,HH000051,client_1,bonus,monthly,gross,52738.46
HH000052_I1,HH000052,client_1,rental_income,monthly,gross,5091.21
HH000052_I2,HH000052,client_1,interest_dividends,monthly,gross,34445.91
HH000053_I1,HH000053,client_1,social_security,monthly,gross,113700.02
HH000054_I1,HH000054,client_1,business_income,monthly,gross,25276.34
HH000054_I2,HH000054,client_1,pension_income,monthly,gross,28584.28
HH000054_I3,HH000054,client_2,interest_dividends,annual,gross,40751.49
HH000055_I1,HH000055,client_1,interest_dividends,monthly,gross,14937.01
HH000055_I2,HH000055,client_1,pension_income,monthly,gross,61173.97
HH000056_I1,HH000056,client_1,bonus,monthly,gross,147547.67
HH000057_I1,HH000057,client_1,pension_income,monthly,gross,49726.11
HH000057_I2,HH000057,client_1,bonus,ad_hoc,gross,143582.56
HH000058_I1,HH000058,client_1,interest_dividends,monthly,gross,41810.09
HH000058_I2,HH000058,client_1,interest_dividends,quarterly,gross,83847.87
HH000059_I1,HH000059,client_1,pension_income,weekly,gross,44070.98
HH000059_I2,HH000059,client_1,business_income,annual,gross,36090.9
HH000059_I3,HH000059,client_1,interest_dividends,monthly,gross,42069.19
HH000060_I1,HH000060,client_1,interest_dividends,weekly,gross,35088.63
HH000060_I2,HH000060,client_1,business_income,annual,gross,18221.86
HH000060_I3,HH000060,client_1,rental_income,monthly,gross,45879.05
HH000061_I1,HH000061,client_1,rental_income,monthly,gross,49780.55
HH000062_I1,HH000062,client_1,bonus,monthly,gross,9172.31
HH000062_I2,HH000062,client_1,bonus,ad_hoc,gross,2257.02
HH000062_I3,HH000062,client_1,business_income,monthly,gross,5398.12
HH000062_I4,HH000062,client_1,interest_dividends,monthly,gross,10527.33
HH000063_I1,HH000063,client_2,business_income,monthly,gross,55835.98
HH000063_I2,HH000063,client_1,social_security,monthly,gross,59560.19
HH000063_I3,HH000063,joint,interest_dividends,annual,gross,47811.83
HH000064_I1,HH000064,client_1,business_income,monthly,gross,6367.52
HH000064_I2,HH000064,client_2,social_security,monthly,gross,8221.29
HH000064_I3,HH000064,client_1,bonus,monthly,gross,5207.23
HH000065_I1,HH000065,client_1,rental_income,quarterly,gross,7925.19
HH000066_I1,HH000066,client_1,salary,monthly,gross,43417.61
HH000066_I2,HH000066,client_1,pension_income,ad_hoc,gross,28728.37
HH000066_I3,HH000066,client_1,social_security,monthly,gross,35524.11
HH000067_I1,HH000067,client_1,salary,monthly,gross,5433.67
HH000067_I2,HH000067,joint,bonus,weekly,gross,3464.18
HH000067_I3,HH000067,client_1,pension_income,monthly,gross,5361.6
HH000068_I1,HH000068,client_1,pension_income,monthly,gross,256408.3
HH000069_I1,HH000069,client_1,interest_dividends,ad_hoc,gross,15369.07
HH000069_I2,HH000069,client_1,bonus,weekly,gross,54738.61
HH000070_I1,HH000070,client_1,rental_income,monthly,gross,43088.31
HH000070_I2,HH000070,client_1,pension_income,monthly,gross,86431.89
HH000070_I3,HH000070,client_2,social_security,annual,gross,68924.54
HH000071_I1,HH000071,client_2,pension_income,monthly,gross,10859.43
HH000071_I2,HH000071,client_1,pension_income,monthly,gross,49836.89
HH000071_I3,HH000071,joint,rental_income,quarterly,gross,33388.79
HH000071_I4,HH000071,client_2,pension_income,monthly,gross,24592.39
HH000072_I1,HH000072,client_1,bonus,annual,gross,23915.92
HH000072_I2,HH000072,joint,bonus,annual,gross,43133.52
HH000072_I3,HH000072,client_1,bonus,monthly,gross,68372.51
HH000072_I4,HH000072,client_2,rental_income,monthly,gross,76486.38
HH000073_I1,HH000073,client_1,rental_income,monthly,gross,22630.56
HH000073_I2,HH000073,client_1,business_income,monthly,gross,45533.72
HH000074_I1,HH000074,client_2,salary,annual,gross,34800.53
HH000074_I2,HH000074,client_1,social_security,monthly,gross,51669.11
HH000075_I1,HH000075,client_2,salary,monthly,gross,19831.12
HH000075_I2,HH000075,joint,pension_income,monthly,gross,10794.38
HH000075_I3,HH000075,client_1,bonus,monthly,gross,23116.86
HH000076_I1,HH000076,client_2,bonus,annual,gross,28995.39
HH000076_I2,HH000076,client_2,interest_dividends,monthly,gross,37832.14
HH000076_I3,HH000076,client_1,bonus,ad_hoc,gross,96380.47
HH000077_I1,HH000077,joint,social_security,monthly,gross,6611.57
HH000077_I2,HH000077,client_1,business_income,monthly,gross,31308.21
HH000077_I3,HH000077,client_1,rental_income,monthly,gross,30839.67
HH000077_I4,HH000077,client_1,social_security,monthly,gross,5869.73
HH000077_I5,HH000077,client_1,social_security,ad_hoc,gross,0.0
HH000077_I6,HH000077,client_2,business_income,quarterly,gross,0.0
HH000078_I1,HH000078,joint,social_security,monthly,gross,15975.53
HH000078_I2,HH000078,client_1,rental_income,monthly,gross,29804.28
HH000078_I3,HH000078,client_1,pension_income,monthly,gross,21344.83
HH000078_I4,HH000078,client_1,bonus,monthly,gross,0.0
HH000078_I5,HH000078,client_2,bonus,monthly,gross,0.0
HH000079_I1,HH000079,client_1,bonus,quarterly,gross,7214.63
HH000079_I2,HH000079,client_1,bonus,weekly,gross,13148.34
HH000080_I1,HH000080,client_1,salary,annual,gross,194229.0
HH000081_I1,HH000081,client_1,salary,monthly,gross,24674.77
HH000082_I1,HH000082,client_1,business_income,monthly,gross,145947.74
HH000083_I1,HH000083,joint,bonus,weekly,gross,54710.43
HH000084_I1,HH000084,client_2,pension_income,monthly,gross,36477.63
HH000084_I2,HH000084,client_1,pension_income,monthly,gross,237904.24
HH000085_I1,HH000085,client_2,rental_income,monthly,gross,5017.9
HH000085_I2,HH000085,client_1,pension_income,ad_hoc,gross,5982.07
