liability_id,household_id,type,monthly_cost,outstanding,interest_rate,final_payment_date
HH000002_L2,HH000002,loan,249.87,3119.38,26.96,2032-05-10
HH000003_L1,HH000003,mortgage,9582.1,151907.33,5.77,2046-06-24
HH000003_L2,HH000003,credit_card,1159.24,44492.44,21.7,
HH000006_L1,HH000006,mortgage,5245.43,184028.33,4.65,2047-10-12
HH000007_L1,HH000007,mortgage,4249.27,148137.69,6.51,2029-05-11
HH000010_L1,HH000010,mortgage,3783.31,151629.48,4.34,2030-01-05
HH000011_L1,HH000011,mortgage,2726.27,115620.51,4.36,2046-07-09
HH000012_L1,HH000012,mortgage,4319.75,139605.89,4.6,2029-05-31
HH000013_L1,HH000013,mortgage,2995.98,104486.22,4.2,2029-12-15
HH000014_L1,HH000014,mortgage,1578.22,128993.99,3.52,2035-02-25
HH000014_L2,HH000014,loan,278.45,2797.7,25.86,2028-06-05
HH000015_L1,HH000015,mortgage,1808.69,103453.78,4.58,2031-09-07
HH000016_L1,HH000016,mortgage,821.97,27151.54,2.82,2029-12-07
HH000017_L2,HH000017,loan,131.88,2179.47,15.25,2029-08-16
HH000019_L1,HH000019,mortgage,3926.83,39505.26,5.93,2046-12-01
HH000019_L2,HH000019,credit_card,588.74,22018.63,23.96,
HH000021_L1,HH000021,mortgage,1432.36,59573.7,6.05,2034-04-05
HH000022_L1,HH000022,mortgage,6979.4,480676.82,4.32,2033-06-25
HH000028_L1,HH000028,mortgage,665.4,60193.48,6.5,2034-04-11
HH000032_L2,HH000032,loan,224.38,2820.69,20.31,2028-04-07
HH000034_L1,HH000034,mortgage,3885.28,118818.07,5.81,2029-07-18
HH000035_L1,HH000035,mortgage,1250.7,64081.61,5.24,2031-02-21
HH000036_L1,HH000036,mortgage,2610.22,215089.38,5.67,2034-03-01
HH000038_L1,HH000038,mortgage,3430.83,292849.27,3.06,2034-08-10
HH000038_L2,HH000038,loan,120.93,1300.66,17.16,2030-11-12
HH000041_L1,HH000041,mortgage,904.05,102384.11,5.86,2037-07-31
HH000042_L1,HH000042,mortgage,4630.88,179972.38,5.34,2039-03-31
HH000042_L2,HH000042,loan,595.91,9640.55,15.29,2028-10-20
HH000044_L1,HH000044,mortgage,4933.63,117816.23,2.78,2041-04-11
HH000045_L1,HH000045,mortgage,2318.41,72479.85,5.39,2029-09-15
HH000046_L1,HH000046,mortgage,2406.64,158877.2,3.43,2032-05-18
HH000046_L2,HH000046,loan,281.45,3172.31,19.03,2028-10-14
HH000047_L2,HH000047,loan,321.01,4584.76,14.14,2031-01-14
HH000048_L2,HH000048,loan,273.29,2412.96,28.88,2027-06-03
HH000049_L1,HH000049,mortgage,1414.62,44690.04,5.65,2029-08-23
HH000049_L2,HH000049,loan,172.49,1954.04,15.72,2028-01-27
HH000050_L1,HH000050,mortgage,3255.32,200621.04,6.81,2032-05-11
HH000051_L2,HH000051,loan,331.49,4846.25,18.72,2031-08-22
HH000052_L1,HH000052,mortgage,6995.57,279940.04,4.12,2030-07-01
HH000053_L1,HH000053,mortgage,5604.54,345409.31,4.97,2031-11-18
HH000053_L2,HH000053,loan,272.13,3814.89,14.54,2032-06-07
HH000054_L2,HH000054,loan,374.56,5574.78,23.1,2030-01-06
HH000055_L1,HH000055,mortgage,4315.88,23135.44,3.7,2031-01-07
HH000055_L2,HH000055,credit_card,1223.37,16781.05,22.87,
HH000058_L1,HH000058,mortgage,258.77,23471.69,5.48,2034-04-10
HH000059_L1,HH000059,mortgage,5271.37,23298.11,5.51,2055-05-03
HH000059_L2,HH000059,credit_card,1499.94,41262.19,27.03,
HH000061_L1,HH000061,mortgage,1488.27,128694.78,5.75,2034-11-10
HH000064_L2,HH000064,loan,200.14,3433.2,20.25,2030-12-04
HH000067_L1,HH000067,mortgage,2520.91,90040.82,5.3,2029-12-26
HH000069_L2,HH000069,loan,1158.45,13835.12,24.42,2028-07-27
HH000072_L1,HH000072,mortgage,3196.81,274637.49,5.2,2035-04-23
HH000072_L2,HH000072,loan,395.48,4137.75,11.06,2029-03-11
HH000073_L1,HH000073,mortgage,282.09,4600.5,6.41,2027-10-09
HH000074_L1,HH000074,mortgage,2717.08,218376.78,7.3,2034-10-27
HH000075_L2,HH000075,loan,188.05,1067.98,18.51,2029-11-13
HH000076_L2,HH000076,loan,135.37,1266.9,15.8,2030-03-10
HH000077_L1,HH000077,mortgage,3596.5,67136.03,7.97,2042-09-10
HH000077_L2,HH000077,credit_card,1008.26,34104.04,15.42,
HH000078_L1,HH000078,mortgage,2166.7,76976.94,4.23,2029-06-01
HH000078_L2,HH000078,loan,157.52,1702.84,13.98,2028-04-25
HH000079_L1,HH000079,mortgage,1373.46,50259.95,3.46,2037-09-24
HH000080_L1,HH000080,mortgage,1957.04,146658.46,4.72,2033-08-30
HH000081_L1,HH000081,mortgage,2530.31,106322.81,3.7,2030-08-12
HH000082_L1,HH000082,mortgage,2251.94,88575.74,4.93,2029-11-19
HH000083_L1,HH000083,mortgage,1395.93,151016.21,7.17,2036-01-26
HH000085_L1,HH000085,mortgage,256.85,24512.73,4.88,2036-07-02
HH000087_L2,HH000087,loan,277.96,3669.66,11.48,2030-04-15
HH000089_L1,HH000089,mortgage,16687.37,199848.85,5.51,2048-04-07
HH000089_L2,HH000089,credit_card,460.05,13982.52,8.54,
HH000090_L1,HH000090,mortgage,921.12,74647.68,4.77,2033-11-22
HH000091_L1,HH000091,mortgage,11011.91,130791.08,6.32,2037-01-10
HH000091_L2,HH000091,credit_card,1026.85,40892.78,9.14,
HH000092_L1,HH000092,mortgage,1467.5,66869.62,5.94,2031-03-02
HH000093_L1,HH000093,mortgage,32173.9,142542.27,4.45,2045-05-22
HH000093_L2,HH000093,credit_card,972.53,35605.92,18.88,
HH000094_L1,HH000094,mortgage,5724.22,216436.89,4.91,2029-11-14
HH000095_L2,HH000095,loan,1264.87,13316.71,24.07,2033-02-11
HH000096_L1,HH000096,mortgage,2528.53,66075.0,4.84,2040-01-07
HH000097_L1,HH000097,mortgage,3955.58,114262.93,3.6,2029-04-19
