policy_id,household_id,owner,policy_type,monthly_cost,amount_assured,assured_until
HH000002_PP1,HH000002,client_1,ltc,268.74,609855.13,2048-09-01
HH000005_PP1,HH000005,client_1,disability,2267.6,4152769.45,2038-04-08
HH000006_PP1,HH000006,client_1,disability,247.36,481105.22,2053-03-07
HH000007_PP1,HH000007,client_1,life,892.32,1040092.06,2050-03-11
HH000011_PP1,HH000011,client_1,ltc,186.45,665944.34,2048-07-15
HH000012_PP1,HH000012,client_1,disability,83.33,551239.45,2046-07-15
HH000013_PP1,HH000013,client_1,disability,460.97,644857.18,2040-02-19
HH000014_PP1,HH000014,client_1,life,206.24,194312.27,2050-11-13
HH000015_PP1,HH000015,client_1,life,363.88,500027.55,2045-03-29
HH000016_PP1,HH000016,client_1,ltc,427.86,513148.05,2046-07-23
HH000017_PP1,HH000017,client_1,disability,331.6,538887.1,2050-04-04
HH000018_PP1,HH000018,client_1,ltc,127.28,118087.43,2040-11-03
HH000020_PP1,HH000020,client_1,ltc,713.01,1351297.97,2048-10-31
HH000022_PP1,HH000022,client_1,disability,20.84,93194.87,2054-09-08
HH000023_PP1,HH000023,client_1,disability,240.67,399925.19,2033-02-06
HH000024_PP1,HH000024,client_1,ltc,290.59,298405.18,2061-04-03
HH000028_PP1,HH000028,client_1,disability,567.69,663379.99,2038-05-27
HH000029_PP1,HH000029,client_1,ltc,847.03,875964.11,2059-04-12
HH000030_PP1,HH000030,client_1,life,214.59,259850.74,2031-11-05
HH000031_PP1,HH000031,client_1,ltc,179.69,352818.46,2056-11-03
HH000032_PP1,HH000032,client_1,disability,641.89,589826.14,2031-10-12
HH000034_PP1,HH000034,client_1,disability,127.0,229311.93,2057-09-03
HH000036_PP1,HH000036,client_1,ltc,282.4,334987.23,2059-10-04
HH000038_PP1,HH000038,client_1,ltc,73.56,343721.76,2059-03-27
HH000040_PP1,HH000040,client_1,ltc,1340.42,1502046.89,2042-08-11
HH000043_PP1,HH000043,client_1,ltc,346.42,798530.29,2047-12-11
HH000045_PP1,HH000045,client_1,disability,888.6,852323.47,2051-02-12
HH000047_PP1,HH000047,client_1,ltc,51.61,170698.08,2049-08-08
HH000048_PP1,HH000048,client_1,life,153.09,174663.95,2044-09-17
HH000049_PP1,HH000049,client_1,life,1558.22,1468064.75,2054-02-12
HH000050_PP1,HH000050,client_1,disability,261.08,360649.56,2060-11-20
HH000052_PP1,HH000052,client_1,disability,33.12,151918.92,2059-04-17
HH000053_PP1,HH000053,client_1,life,430.98,953146.41,2041-09-04
HH000054_PP1,HH000054,client_1,life,163.88,354444.35,2040-12-17
HH000056_PP1,HH000056,client_1,ltc,175.67,678988.05,2056-11-06
HH000057_PP1,HH000057,client_1,life,358.78,391814.63,2033-11-23
HH000058_PP1,HH000058,client_1,disability,292.18,675614.11,2037-08-06
HH000060_PP1,HH000060,client_1,ltc,48.18,124742.08,2033-01-16
HH000062_PP1,HH000062,client_1,disability,138.31,247425.84,2037-10-29
HH000063_PP1,HH000063,client_1,ltc,110.06,466670.52,2046-03-25
HH000064_PP1,HH000064,client_1,disability,281.26,493207.69,2053-11-23
HH000066_PP1,HH000066,client_1,disability,1334.81,1254625.1,2052-06-30
HH000069_PP1,HH000069,client_1,disability,1148.56,1479156.92,2060-08-27
HH000070_PP1,HH000070,client_1,disability,105.64,375688.02,2038-05-25
HH000071_PP1,HH000071,client_1,life,536.13,865826.44,2056-12-23
HH000075_PP1,HH000075,client_1,disability,355.46,975582.25,2054-08-31
HH000078_PP1,HH000078,client_1,life,135.42,320618.19,2054-01-08
HH000079_PP1,HH000079,client_1,life,540.57,725281.28,2033-06-01
HH000080_PP1,HH000080,client_1,ltc,105.78,367703.1,2058-12-13
HH000081_PP1,HH000081,client_1,life,512.09,758741.11,2032-07-18
HH000082_PP1,HH000082,client_1,life,170.77,261964.29,2051-01-11
HH000083_PP1,HH000083,client_1,disability,229.76,246850.93,2045-09-02
HH000085_PP1,HH000085,client_1,disability,167.29,180249.29,2050-08-18
HH000087_PP1,HH000087,client_1,disability,993.81,904348.69,2032-01-26
HH000091_PP1,HH000091,client_1,life,129.98,575074.83,2058-08-14
HH000094_PP1,HH000094,client_1,ltc,322.77,1457077.41,2051-05-02
HH000095_PP1,HH000095,client_1,life,917.07,1070523.93,2059-10-03
HH000096_PP1,HH000096,client_1,disability,750.48,1977890.12,2041-10-01
HH000097_PP1,HH000097,client_1,life,71.28,94022.51,2049-08-27
HH000098_PP1,HH000098,client_1,disability,103.94,130986.08,2043-03-01
HH000099_PP1,HH000099,client_1,disability,1048.87,1355832.65,2053-10-15
HH000100_PP1,HH000100,client_1,disability,217.1,205396.13,2053-02-06
HH000101_PP1,HH000101,client_1,life,142.51,852782.58,2054-01-18
HH000102_PP1,HH000102,client_1,disability,1174.55,1076033.26,2039-02-14
HH000103_PP1,HH000103,client_1,disability,103.63,146432.27,2046-06-17
HH000104_PP1,HH000104,client_1,ltc,24.6,60274.06,2036-02-01
HH000105_PP1,HH000105,client_1,ltc,222.36,224753.41,2035-05-14
HH000106_PP1,HH000106,client_1,disability,341.04,353944.01,2040-08-19
HH000107_PP1,HH000107,client_1,disability,462.6,572999.23,2031-10-18
HH000108_PP1,HH000108,client_1,ltc,680.74,793906.84,2046-02-09
HH000111_PP1,HH000111,client_1,life,34.99,113685.32,2050-01-25
HH000113_PP1,HH000113,client_1,life,1420.03,1851382.68,2042-01-16
HH000114_PP1,HH000114,client_1,ltc,182.76,167788.48,2040-05-19
HH000115_PP1,HH000115,client_1,ltc,870.46,1658519.05,2042-11-23
HH000116_PP1,HH000116,client_1,ltc,114.54,206551.35,2041-10-22
HH000117_PP1,HH000117,client_1,ltc,142.22,283896.03,2045-06-21
HH000119_PP1,HH000119,client_1,disability,476.57,937171.38,2035-08-30
HH000123_PP1,HH000123,client_1,life,222.98,377357.58,2031-10-23
HH000124_PP1,HH000124,client_1,ltc,101.89,470614.26,2036-05-30
HH000125_PP1,HH000125,client_1,disability,234.27,299267.04,2057-01-03
HH000127_PP1,HH000127,client_1,disability,454.72,433385.07,2053-02-14
HH000130_PP1,HH000130,client_1,life,675.65,1886146.96,2045-03-18
HH000131_PP1,HH000131,client_1,disability,131.94,505148.5,2043-12-13
HH000135_PP1,HH000135,client_1,life,380.11,548843.3,2051-11-15
HH000136_PP1,HH000136,client_1,life,197.32,767092.03,2039-07-31
HH000137_PP1,HH000137,client_1,ltc,196.18,356443.43,2055-03-25
HH000138_PP1,HH000138,client_1,life,325.67,453824.6,2047-09-15
HH000139_PP1,HH000139,client_1,disability,728.0,683778.79,2042-09-10
HH000144_PP1,HH000144,client_1,life,147.93,172665.1,2060-09-24
HH000145_PP1,HH000145,client_1,life,379.1,846528.36,2059-01-25
HH000148_PP1,HH000148,client_1,disability,174.82,167276.98,2038-10-23
HH000149_PP1,HH000149,client_1,disability,259.9,819635.96,2059-04-13
HH000150_PP1,HH000150,client_1,life,457.97,709515.96,2051-07-12
HH000152_PP1,HH000152,client_1,life,284.89,264035.0,2039-09-08
HH000155_PP1,HH000155,client_1,ltc,1969.04,2544618.71,2038-10-13
HH000157_PP1,HH000157,client_1,life,173.81,566010.46,2042-06-29
HH000161_PP1,HH000161,client_1,ltc,242.63,449135.31,2042-07-27
HH000164_PP1,HH000164,client_1,ltc,456.69,1090708.08,2046-02-14
HH000165_PP1,HH000165,client_1,disability,2065.65,2054511.43,2057-05-10
HH000166_PP1,HH000166,client_1,life,95.08,301179.45,2056-03-26
HH000168_PP1,HH000168,client_1,ltc,217.04,317663.4,2060-09-17
HH000169_PP1,HH000169,client_1,disability,306.8,773981.76,2038-10-14
HH000174_PP1,HH000174,client_1,disability,291.76,633156.78,2059-12-27
HH000175_PP1,HH000175,client_1,life,441.31,552503.76,2034-12-29
HH000176_PP1,HH000176,client_1,life,197.22,746691.09,2051-05-03
HH000178_PP1,HH000178,client_1,disability,208.88,715527.94,2041-07-06
HH000180_PP1,HH000180,client_1,life,414.51,622364.02,2056-05-31
HH000181_PP1,HH000181,client_1,life,171.15,770832.01,2052-12-31
HH000182_PP1,HH000182,client_1,disability,57.88,85425.84,2046-02-19
HH000183_PP1,HH000183,client_1,ltc,70.28,79440.94,2052-08-02
HH000185_PP1,HH000185,client_1,ltc,877.74,1012570.98,2031-08-25
HH000187_PP1,HH000187,client_1,life,371.85,896924.56,2052-09-25
HH000188_PP1,HH000188,client_1,life,281.43,472754.98,2038-10-19
HH000189_PP1,HH000189,client_1,disability,405.32,544594.12,2054-05-23
HH000190_PP1,HH000190,client_1,ltc,168.49,233826.03,2049-07-22
HH000192_PP1,HH000192,client_1,disability,681.08,844278.08,2052-12-06
HH000196_PP1,HH000196,client_1,disability,846.66,1030783.53,2047-02-18
HH000198_PP1,HH000198,client_1,life,317.17,806581.34,2039-05-12
HH000200_PP1,HH000200,client_1,life,251.34,871054.05,2050-07-07
HH000204_PP1,HH000204,client_1,ltc,360.98,351165.1,2036-09-01
HH000207_PP1,HH000207,client_1,ltc,772.39,800274.15,2041-07-11
HH000208_PP1,HH000208,client_1,ltc,111.2,266004.33,2060-08-23
HH000209_PP1,HH000209,client_1,life,460.49,778305.29,2052-03-11
HH000210_PP1,HH000210,client_1,disability,533.49,914324.68,2040-11-08
HH000215_PP1,HH000215,client_1,life,355.19,761057.5,2036-11-08
HH000216_PP1,HH000216,client_1,disability,155.99,415390.8,2051-09-29
HH000219_PP1,HH000219,client_1,disability,1218.21,1154269.3,2053-12-15
HH000221_PP1,HH000221,client_1,disability,438.01,775105.42,2049-03-30
HH000223_PP1,HH000223,client_1,life,412.51,2099001.23,2037-12-25
HH000224_PP1,HH000224,client_1,ltc,2387.61,2620284.57,2057-10-06
HH000226_PP1,HH000226,client_1,disability,367.89,787288.14,2032-11-04
HH000227_PP1,HH000227,client_1,disability,276.95,777740.39,2039-03-14
HH000233_PP1,HH000233,client_1,life,239.25,333365.46,2053-08-10
HH000234_PP1,HH000234,client_1,disability,843.45,1096033.99,2034-05-20
HH000236_PP1,HH000236,client_1,life,368.28,423993.13,2051-05-22
