entity,field,field_type,n_total,n_match,match_rate,n_missing_extracted,n_missing_extracted_gt_only,n_missing_extracted_within_paired,n_extra_extracted,n_extra_extracted_ex_only,n_extra_extracted_within_paired,n_value_mismatch
assets,provider_type,categorical,273,262,0.9597069597069597,9,0,9,0,0,0,2
assets,owner,categorical,488,469,0.9610655737704918,10,0,10,0,0,0,9
assets,is_joint,boolean,488,471,0.9651639344262295,10,0,10,0,0,0,7
assets,asset_type,categorical,488,474,0.9713114754098361,0,0,0,0,0,0,14
assets,subtype,categorical,488,474,0.9713114754098361,0,0,0,0,0,0,14
people,occupation_group,categorical,103,101,0.9805825242718447,0,0,0,0,0,0,2
households,annual_household_gross_income,continuous,99,98,0.98989898989899,0,0,0,0,0,0,1
income_lines,amount_annualized,continuous,225,223,0.9911111111111112,1,1,0,0,0,0,1
income_lines,frequency,categorical,225,224,0.9955555555555555,1,1,0,0,0,0,0
income_lines,owner,categorical,225,224,0.9955555555555555,1,1,0,0,0,0,0
income_lines,source_type,categorical,225,224,0.9955555555555555,1,1,0,0,0,0,0
assets,value,continuous,488,488,1.0,0,0,0,0,0,0,0
people,client_no,integer,174,174,1.0,0,0,0,0,0,0,0
people,employment_status,categorical,174,174,1.0,0,0,0,0,0,0,0
people,gross_annual_income,continuous,174,174,1.0,0,0,0,0,0,0,0
people,role,categorical,174,174,1.0,0,0,0,0,0,0,0
households,country,categorical,99,99,1.0,0,0,0,0,0,0,0
households,investable_assets_total,continuous,99,99,1.0,0,0,0,0,0,0,0
households,loan_outstanding_total,continuous,99,99,1.0,0,0,0,0,0,0,0
households,marital_status,categorical,99,99,1.0,0,0,0,0,0,0,0
households,market,categorical,99,99,1.0,0,0,0,0,0,0,0
households,monthly_debt_cost_total,continuous,99,99,1.0,0,0,0,0,0,0,0
households,monthly_expenses_total,continuous,99,99,1.0,0,0,0,0,0,0,0
households,mortgage_outstanding_total,continuous,99,99,1.0,0,0,0,0,0,0,0
households,non_mortgage_outstanding_total,continuous,99,99,1.0,0,0,0,0,0,0,0
households,num_adults,integer,99,99,1.0,0,0,0,0,0,0,0
households,num_dependants,integer,99,99,1.0,0,0,0,0,0,0,0
households,property_value_total,continuous,99,99,1.0,0,0,0,0,0,0,0
households,residence_state,categorical,99,99,1.0,0,0,0,0,0,0,0
households,risk_tolerance,categorical,99,99,1.0,0,0,0,0,0,0,0
households,tax_bracket_band,categorical,99,99,1.0,0,0,0,0,0,0,0
liabilities,interest_rate,continuous,69,69,1.0,0,0,0,0,0,0,0
liabilities,monthly_cost,continuous,69,69,1.0,0,0,0,0,0,0,0
liabilities,outstanding,continuous,69,69,1.0,0,0,0,0,0,0,0
liabilities,type,categorical,69,69,1.0,0,0,0,0,0,0,0
liabilities,final_payment_date,date_nullable,65,65,1.0,0,0,0,0,0,0,0
protection_policies,amount_assured,continuous,54,54,1.0,0,0,0,0,0,0,0
protection_policies,assured_until,date_nullable,54,54,1.0,0,0,0,0,0,0,0
protection_policies,monthly_cost,continuous,54,54,1.0,0,0,0,0,0,0,0
protection_policies,owner,categorical,54,54,1.0,0,0,0,0,0,0,0
protection_policies,policy_type,categorical,54,54,1.0,0,0,0,0,0,0,0
