household_id,entity,record_key,record_status,field,field_type,ground_truth,extracted
HH000011,assets,HH000011_A5,both,owner,categorical,client_1,
HH000011,assets,HH000011_A5,both,provider_type,categorical,bank,
HH000011,assets,HH000011_A5,both,is_joint,boolean,False,
HH000147,assets,HH000147_A5,both,provider_type,categorical,insurance_company,
HH000286,assets,HH000286_A5,both,provider_type,categorical,insurance_company,
HH000771,assets,HH000771_A4,both,owner,categorical,client_1,
HH000771,assets,HH000771_A4,both,is_joint,boolean,False,
HH000827,income_lines,HH000827_I5,gt_only,owner,categorical,client_1,
HH000827,income_lines,HH000827_I5,gt_only,source_type,categorical,pension_income,
HH000827,income_lines,HH000827_I5,gt_only,frequency,categorical,monthly,
HH000827,income_lines,HH000827_I5,gt_only,amount_annualized,continuous,0,
HH001191,assets,HH001191_A5,both,owner,categorical,client_1,
HH001191,assets,HH001191_A5,both,is_joint,boolean,False,
HH001553,assets,HH001553_A5,both,owner,categorical,client_1,
HH001553,assets,HH001553_A5,both,is_joint,boolean,False,
HH002122,assets,HH002122_A5,both,provider_type,categorical,retirement_platform,
HH002503,assets,HH002503_A5,both,provider_type,categorical,insurance_company,
HH003218,assets,HH003218_A4,both,owner,categorical,client_1,
HH003218,assets,HH003218_A4,both,is_joint,boolean,False,
HH003225,assets,HH003225_A5,both,owner,categorical,joint,
HH003225,assets,HH003225_A5,both,is_joint,boolean,True,
HH003522,assets,HH003522_A5,both,owner,categorical,client_1,
HH003522,assets,HH003522_A5,both,is_joint,boolean,False,
HH003786,assets,HH003786_A5,both,owner,categorical,client_1,
HH003786,assets,HH003786_A5,both,is_joint,boolean,False,
HH003892,assets,HH003892_A5,both,provider_type,categorical,bank,
HH004031,assets,HH004031_A5,both,owner,categorical,client_1,
HH004031,assets,HH004031_A5,both,provider_type,categorical,brokerage,
HH004031,assets,HH004031_A5,both,is_joint,boolean,False,
HH004426,assets,HH004426_A5,both,provider_type,categorical,brokerage,
HH004568,assets,HH004568_A5,both,owner,categorical,client_2,
HH004568,assets,HH004568_A5,both,is_joint,boolean,False,
HH004974,assets,HH004974_A5,both,provider_type,categorical,insurance_company,
