household_id,entity,record_key,record_status,field,field_type,ground_truth,extracted
HH000427,assets,HH000427_A1,both,asset_type,categorical,brokerage,alternatives
HH000748,assets,HH000748_A3,both,asset_type,categorical,cash,retirement
HH000751,assets,HH000751_A3,both,asset_type,categorical,cash,retirement
HH001366,assets,HH001366_A1,both,asset_type,categorical,brokerage,alternatives
HH001538,assets,HH001538_A1,both,asset_type,categorical,brokerage,cash
HH001538,assets,HH001538_A3,both,asset_type,categorical,cash,brokerage
HH001553,assets,HH001553_A3,both,asset_type,categorical,cash,brokerage
HH001811,assets,HH001811_A1,both,asset_type,categorical,brokerage,cash
HH002820,assets,HH002820_A2,both,asset_type,categorical,retirement,cash
HH002936,assets,HH002936_A3,both,asset_type,categorical,cash,retirement
HH004358,assets,HH004358_A1,both,asset_type,categorical,brokerage,retirement
HH004687,assets,HH004687_A3,both,asset_type,categorical,cash,brokerage
HH004720,assets,HH004720_A4,both,asset_type,categorical,alternatives,cash
HH004816,assets,HH004816_A3,both,asset_type,categorical,cash,retirement
HH000748,assets,HH000748_A5,both,is_joint,boolean,False,True
HH000902,assets,HH000902_A5,both,is_joint,boolean,False,True
HH000971,assets,HH000971_A3,both,is_joint,boolean,False,True
HH001473,assets,HH001473_A3,both,is_joint,boolean,True,False
HH002103,assets,HH002103_A5,both,is_joint,boolean,False,True
HH002820,assets,HH002820_A2,both,is_joint,boolean,False,True
HH004319,assets,HH004319_A3,both,is_joint,boolean,False,True
HH000016,assets,HH000016_A1,both,owner,categorical,joint,client_1
HH000748,assets,HH000748_A5,both,owner,categorical,client_1,joint
HH000902,assets,HH000902_A5,both,owner,categorical,client_2,joint
HH000971,assets,HH000971_A3,both,owner,categorical,client_1,joint
HH001473,assets,HH001473_A3,both,owner,categorical,joint,client_1
HH002103,assets,HH002103_A5,both,owner,categorical,client_1,joint
HH002820,assets,HH002820_A2,both,owner,categorical,client_1,joint
HH004319,assets,HH004319_A3,both,owner,categorical,client_2,joint
HH004507,assets,HH004507_A3,both,owner,categorical,client_1,client_2
HH002833,assets,HH002833_A3,both,provider_type,categorical,insurance_company,bank
HH002921,assets,HH002921_A3,both,provider_type,categorical,brokerage,bank
HH000427,assets,HH000427_A1,both,subtype,categorical,taxable_brokerage,private_markets
HH000748,assets,HH000748_A3,both,subtype,categorical,bank_account,401k_ira
HH000751,assets,HH000751_A3,both,subtype,categorical,bank_account,401k_ira
HH001366,assets,HH001366_A1,both,subtype,categorical,taxable_brokerage,private_markets
HH001538,assets,HH001538_A1,both,subtype,categorical,taxable_brokerage,bank_account
HH001538,assets,HH001538_A3,both,subtype,categorical,bank_account,taxable_brokerage
HH001553,assets,HH001553_A3,both,subtype,categorical,bank_account,taxable_brokerage
HH001811,assets,HH001811_A1,both,subtype,categorical,taxable_brokerage,bank_account
HH002820,assets,HH002820_A2,both,subtype,categorical,401k_ira,bank_account
HH002936,assets,HH002936_A3,both,subtype,categorical,bank_account,401k_ira
HH004358,assets,HH004358_A1,both,subtype,categorical,taxable_brokerage,401k_ira
HH004687,assets,HH004687_A3,both,subtype,categorical,bank_account,taxable_brokerage
HH004720,assets,HH004720_A4,both,subtype,categorical,private_markets,bank_account
HH004816,assets,HH004816_A3,both,subtype,categorical,bank_account,401k_ira
HH003793,households,HH003793,both,annual_household_gross_income,continuous,116750,233500
HH004426,income_lines,HH004426_I1,both,amount_annualized,continuous,145100,92100
HH000431,people,HH000431_P1,both,occupation_group,categorical,exec,operations
HH000748,people,HH000748_P2,both,occupation_group,categorical,education,business_owner
