household_id,entity,record_key,record_status,field,field_type,ground_truth,extracted
HH000388,households,HH000388,both,tax_bracket_band,categorical,24,
HH000470,people,HH000470_P2,both,occupation_group,categorical,healthcare,
HH000621,assets,HH000621_A5,both,provider_type,categorical,insurance_company,
HH000631,people,HH000631_P1,both,gross_annual_income,continuous,274700,
HH000692,people,HH000692_P1,both,gross_annual_income,continuous,140200,
HH001021,assets,HH001021_A1,both,subtype,categorical,taxable_brokerage,
HH001038,assets,HH001038_A5,both,provider_type,categorical,brokerage,
HH001138,people,HH001138_P2,both,occupation_group,categorical,education,
HH001777,people,HH001777_P1,both,gross_annual_income,continuous,87050,
HH001940,assets,HH001940_A5,both,provider_type,categorical,brokerage,
HH002373,people,HH002373_P2,both,occupation_group,categorical,professional,
HH002398,assets,HH002398_A5,both,provider_type,categorical,brokerage,
HH002866,assets,HH002866_A2,both,subtype,categorical,401k_ira,
HH003018,assets,HH003018_A5,both,provider_type,categorical,brokerage,
HH003042,assets,HH003042_A5,both,provider_type,categorical,insurance_company,
HH003124,assets,HH003124_A1,both,provider_type,categorical,brokerage,
HH003327,assets,HH003327_A4,both,provider_type,categorical,brokerage,
HH003428,assets,HH003428_A5,both,provider_type,categorical,brokerage,
HH003547,assets,HH003547_A5,both,provider_type,categorical,bank,
HH003590,assets,HH003590_A5,both,provider_type,categorical,brokerage,
HH003640,households,HH003640,both,non_mortgage_outstanding_total,continuous,0,
HH003686,assets,HH003686_A5,both,provider_type,categorical,bank,
HH003830,people,HH003830_P2,both,occupation_group,categorical,business_owner,
HH003857,assets,HH003857_A4,both,provider_type,categorical,insurance_company,
HH003977,assets,HH003977_A5,both,provider_type,categorical,insurance_company,
HH004257,assets,HH004257_A5,both,provider_type,categorical,retirement_platform,
HH004402,assets,HH004402_A4,both,provider_type,categorical,retirement_platform,
HH004663,people,HH004663_P1,both,gross_annual_income,continuous,252550,
HH004777,assets,HH004777_A5,both,subtype,categorical,primary_residence,
HH004794,assets,HH004794_A5,both,provider_type,categorical,brokerage,
HH004861,assets,HH004861_A5,both,provider_type,categorical,insurance_company,
