household_id,entity,record_key,status
HH000003,households,HH000003,both
HH000003,people,HH000003_P1,both
HH000003,income_lines,HH000003_I1,both
HH000003,assets,HH000003_A1,both
HH000003,assets,HH000003_A2,both
HH000003,assets,HH000003_A3,both
HH000003,assets,HH000003_A4,both
HH000003,assets,HH000003_A5,both
HH000003,liabilities,HH000003_L1,both
HH000003,liabilities,HH000003_L2,both
HH000003,protection_policies,HH000003_PP1,both
HH000018,households,HH000018,both
HH000018,people,HH000018_P1,both
HH000018,people,HH000018_P2,both
HH000018,income_lines,HH000018_I1,both
HH000018,income_lines,HH000018_I1,ex_only
HH000018,income_lines,HH000018_I2,ex_only
HH000018,assets,HH000018_A1,both
HH000018,assets,HH000018_A2,both
HH000018,assets,HH000018_A3,both
HH000018,assets,HH000018_A4,both
HH000018,assets,HH000018_A5,both
HH000018,liabilities,HH000018_L1,ex_only
HH000018,liabilities,HH000018_L2,ex_only
HH000018,liabilities,HH000018_L3,ex_only
HH000019,households,HH000019,both
HH000019,people,HH000019_P1,both
HH000019,income_lines,HH000019_I1,both
HH000019,income_lines,HH000019_I2,both
HH000019,income_lines,HH000019_I3,both
HH000019,income_lines,HH000019_I4,both
HH000019,income_lines,HH000019_I5,both
HH000019,income_lines,HH000019_I6,both
HH000019,assets,HH000019_A1,both
HH000019,assets,HH000019_A2,both
HH000019,assets,HH000019_A3,both
HH000019,assets,HH000019_A4,both
HH000019,assets,HH000019_A5,both
HH000019,liabilities,HH000019_L1,both
HH000019,liabilities,HH000019_L2,both
HH000046,households,HH000046,both
HH000046,people,HH000046_P1,both
HH000046,income_lines,HH000046_I1,both
HH000046,income_lines,HH000046_I2,both
HH000046,assets,HH000046_A1,both
HH000046,assets,HH000046_A2,both
HH000046,assets,HH000046_A3,both
HH000046,assets,HH000046_A4,both
HH000046,assets,HH000046_A5,both
HH000046,liabilities,HH000046_L1,both
HH000046,liabilities,HH000046_L2,both
HH000055,households,HH000055,both
HH000055,people,HH000055_P1,both
HH000055,people,HH000055_P2,both
HH000055,income_lines,HH000055_I1,both
HH000055,assets,HH000055_A1,both
HH000055,assets,HH000055_A2,both
HH000055,assets,HH000055_A3,both
HH000055,assets,HH000055_A4,both
HH000055,assets,HH000055_A5,both
HH000055,liabilities,HH000055_L1,both
HH000055,liabilities,HH000055_L2,both
HH000055,protection_policies,HH000055_PP1,both
HH000059,households,HH000059,both
HH000059,people,HH000059_P1,both
HH000059,people,HH000059_P2,both
HH000059,income_lines,HH000059_I1,both
HH000059,income_lines,HH000059_I1,ex_only
HH000059,income_lines,HH000059_I2,both
HH000059,income_lines,HH000059_I2,ex_only
HH000059,income_lines,HH000059_I3,both
HH000059,assets,HH000059_A1,both
HH000059,assets,HH000059_A2,both
HH000059,assets,HH000059_A3,both
HH000059,assets,HH000059_A4,both
HH000059,assets,HH000059_A5,both
HH000059,liabilities,HH000059_L1,both
HH000059,liabilities,HH000059_L2,both
HH000080,households,HH000080,both
HH000080,people,HH000080_P1,both
HH000080,people,HH000080_P2,both
HH000080,income_lines,HH000080_I1,both
HH000080,income_lines,HH000080_I2,both
HH000080,assets,HH000080_A1,both
HH000080,assets,HH000080_A2,both
HH000080,assets,HH000080_A3,both
HH000080,assets,HH000080_A4,both
HH000080,assets,HH000080_A5,both
HH000080,liabilities,HH000080_L1,both
HH000084,households,HH000084,both
HH000084,people,HH000084_P1,both
HH000084,people,HH000084_P2,both
HH000084,income_lines,HH000084_I1,both
HH000084,income_lines,HH000084_I2,both
HH000084,assets,HH000084_A1,both
HH000084,assets,HH000084_A2,both
HH000084,assets,HH000084_A3,both
HH000084,assets,HH000084_A4,both
HH000084,assets,HH000084_A5,both
HH000084,protection_policies,HH000084_PP1,both
HH000109,households,HH000109,both
HH000109,people,HH000109_P1,both
HH000109,people,HH000109_P2,both
HH000109,income_lines,HH000109_I1,both
HH000109,income_lines,HH000109_I2,both
HH000109,income_lines,HH000109_I3,both
HH000109,income_lines,HH000109_I4,both
HH000109,income_lines,HH000109_I5,both
HH000109,income_lines,HH000109_I6,both
HH000109,income_lines,HH000109_I7,both
HH000109,assets,HH000109_A1,both
HH000109,assets,HH000109_A2,both
HH000109,assets,HH000109_A3,both
HH000109,assets,HH000109_A4,both
HH000109,assets,HH000109_A5,both
HH000109,liabilities,HH000109_L1,both
HH000124,households,HH000124,both
HH000124,people,HH000124_P1,both
HH000124,income_lines,HH000124_I1,both
HH000124,assets,HH000124_A1,both
HH000124,assets,HH000124_A2,both
HH000124,assets,HH000124_A3,both
HH000124,assets,HH000124_A4,both
HH000124,assets,HH000124_A5,both
HH000124,liabilities,HH000124_L1,both
HH000129,households,HH000129,both
